Expiry,Previous settle,Open,High,Low,Close,Settle,Timestamp,Settlement diff,returns %,Adjusted Price(average)
11/26/2010,44.84,44.8325,44.8725,44.7125,44.7425,44.7425,10/29/2010,,,44.7425
11/26/2010,44.7425,44.5975,44.715,44.56,44.6775,44.6775,11/1/2010,0,-0.15%,44.6775
11/26/2010,44.6775,44.675,44.7025,44.56,44.62,44.62,11/2/2010,0,-0.13%,44.62
11/26/2010,44.62,44.5,44.6025,44.4275,44.515,44.515,11/3/2010,0,-0.24%,44.515
11/26/2010,44.515,44.4375,44.51,44.3675,44.38,44.38,11/4/2010,0,-0.30%,44.29375
11/26/2010,44.2075,44.305,44.58,44.28,44.5625,44.5625,11/8/2010,-0.1725,0.41%,44.5625
11/26/2010,44.5625,44.565,44.615,44.49,44.5125,44.5125,11/9/2010,0,-0.11%,44.5125
11/26/2010,44.5125,44.6075,44.65,44.45,44.5225,44.5225,11/10/2010,0,0.02%,44.5225
11/26/2010,44.5225,44.415,44.5,44.4,44.46,44.46,11/11/2010,0,-0.14%,44.46
11/26/2010,44.46,44.63,45.0025,44.615,44.9425,44.9425,11/12/2010,0,1.09%,44.9425
11/26/2010,44.9425,45.0725,45.3625,45.05,45.33,45.33,11/15/2010,0,0.86%,45.33
11/26/2010,45.33,45.335,45.4425,45.195,45.415,45.415,11/16/2010,0,0.19%,45.415
11/26/2010,45.415,45.55,45.6475,45.29,45.3225,45.3225,11/18/2010,0,-0.20%,45.3225
11/26/2010,45.3225,45.34,45.4425,45.23,45.3375,45.3375,11/19/2010,0,0.03%,45.3375
11/26/2010,45.3375,45.34,45.4725,45.2625,45.445,45.445,11/22/2010,0,0.24%,45.445
11/26/2010,45.445,45.555,45.7,45.54,45.6225,45.6225,11/23/2010,0,0.39%,45.6225
11/26/2010,45.6225,45.655,45.865,45.63,45.7725,45.7725,11/24/2010,0,0.33%,45.7725
11/26/2010,45.7725,45.71,45.7675,45.5175,45.5375,45.5375,11/25/2010,0,-0.51%,45.6675
12/29/2010,45.7975,45.8475,46.1675,45.815,46.1175,46.1175,11/26/2010,0.26,1.27%,46.1175
12/29/2010,46.1175,46.1025,46.19,45.95,46.1625,46.1625,11/29/2010,0,0.10%,46.1625
12/29/2010,46.1625,45.285,46.3525,45.285,46.175,46.175,11/30/2010,0,0.03%,46.175
12/29/2010,46.175,46.08,46.1,45.5625,45.605,45.605,12/1/2010,0,-1.23%,45.605
12/29/2010,45.605,45.5825,45.595,45.41,45.5,45.5,12/2/2010,0,-0.23%,45.5
12/29/2010,45.5,45.4125,45.4125,45.2525,45.31,45.31,12/3/2010,0,-0.42%,45.31
12/29/2010,45.31,45.21,45.235,45,45.1825,45.1825,12/6/2010,0,-0.28%,45.1825
12/29/2010,45.1825,45.07,45.07,44.8325,44.86,44.86,12/7/2010,0,-0.71%,44.86
12/29/2010,44.86,45,45.3425,45,45.2525,45.2525,12/8/2010,0,0.87%,45.2525
12/29/2010,45.2525,45.2725,45.4825,45.1475,45.4025,45.4025,12/9/2010,0,0.33%,45.4025
12/29/2010,45.4025,45.3475,45.51,45.1675,45.21,45.21,12/10/2010,0,-0.42%,45.21
12/29/2010,45.21,45.29,45.4025,45.2375,45.2725,45.2725,12/13/2010,0,0.14%,45.2725
12/29/2010,45.2725,45.12,45.185,45.0575,45.0825,45.0825,12/14/2010,0,-0.42%,45.0825
12/29/2010,45.0825,45.2125,45.5525,45.2125,45.49,45.49,12/15/2010,0,0.90%,45.49
12/29/2010,45.49,45.56,45.695,45.34,45.4275,45.4275,12/16/2010,0,-0.14%,45.4275
12/29/2010,45.4275,45.65,45.7225,45.39,45.52,45.52,12/20/2010,0,0.20%,45.52
12/29/2010,45.52,45.4425,45.4425,45.21,45.3025,45.3025,12/21/2010,0,-0.48%,45.3025
12/29/2010,45.3025,45.255,45.32,45.1225,45.1425,45.1425,12/22/2010,0,-0.35%,45.1425
12/29/2010,45.1425,45.1425,45.2175,45.0025,45.195,45.195,12/23/2010,0,0.12%,45.195
12/29/2010,45.195,45.1375,45.2675,45.115,45.1475,45.1475,12/24/2010,0,-0.11%,45.1475
12/29/2010,45.1475,45.19,45.295,45.0625,45.2725,45.2725,12/27/2010,0,0.28%,45.2725
12/29/2010,45.2725,45.125,45.2125,45.0875,45.1125,45.1125,12/28/2010,0,-0.35%,45.235
1/27/2011,45.3575,45.32,45.395,45.2575,45.2925,45.2925,12/29/2010,0.245,0.40%,45.2925
1/27/2011,45.2925,45.2175,45.2175,45.0825,45.1575,45.1575,12/30/2010,0,-0.30%,45.1575
1/27/2011,45.1575,45.15,45.1675,44.8775,44.9075,44.9075,12/31/2010,0,-0.55%,44.9075
1/27/2011,44.9075,44.9,44.9725,44.855,44.9325,44.9325,1/3/2011,0,0.06%,44.9325
1/27/2011,44.9325,44.86,45.1825,44.84,45.16,45.16,1/4/2011,0,0.51%,45.16
1/27/2011,45.16,45.37,45.53,45.25,45.495,45.495,1/5/2011,0,0.74%,45.495
1/27/2011,45.495,45.595,45.6025,45.365,45.455,45.455,1/6/2011,0,-0.09%,45.455
1/27/2011,45.455,45.5425,45.645,45.48,45.5675,45.5675,1/7/2011,0,0.25%,45.5675
1/27/2011,45.5675,45.4975,45.6675,45.43,45.6175,45.6175,1/10/2011,0,0.11%,45.6175
1/27/2011,45.6175,45.5325,45.5675,45.3,45.3175,45.3175,1/11/2011,0,-0.66%,45.3175
1/27/2011,45.3175,45.25,45.3425,45.19,45.27,45.27,1/12/2011,0,-0.10%,45.27
1/27/2011,45.27,45.16,45.3725,45.1425,45.3475,45.3475,1/13/2011,0,0.17%,45.3475
1/27/2011,45.3475,45.2925,45.5375,45.2425,45.4825,45.4825,1/14/2011,0,0.30%,45.4825
1/27/2011,45.4825,45.5375,45.7225,45.4975,45.62,45.62,1/17/2011,0,0.30%,45.62
1/27/2011,45.62,45.6375,45.67,45.495,45.52,45.52,1/18/2011,0,-0.22%,45.52
1/27/2011,45.52,45.48,45.55,45.385,45.53,45.53,1/19/2011,0,0.02%,45.53
1/27/2011,45.53,45.675,45.7725,45.55,45.5925,45.5925,1/20/2011,0,0.14%,45.5925
1/27/2011,45.5925,45.76,45.825,45.63,45.6825,45.6825,1/21/2011,0,0.20%,45.6825
1/27/2011,45.6825,45.6225,45.72,45.5625,45.685,45.685,1/24/2011,0,0.01%,45.685
1/27/2011,45.685,45.5875,45.8025,45.4775,45.7575,45.7575,1/25/2011,0,0.16%,45.86875
2/24/2011,45.98,45.8325,45.8975,45.76,45.805,45.805,1/27/2011,0.2225,0.10%,45.805
2/24/2011,45.805,45.91,46.065,45.9,45.995,45.995,1/28/2011,0,0.41%,45.995
2/24/2011,45.995,46.115,46.2275,46.1125,46.1375,46.1375,1/31/2011,0,0.31%,46.1375
2/24/2011,46.1375,46.095,46.11,45.9525,45.9725,45.9725,2/1/2011,0,-0.36%,45.9725
2/24/2011,45.9725,45.8125,45.885,45.73,45.8075,45.8075,2/2/2011,0,-0.36%,45.8075
2/24/2011,45.8075,45.8025,45.84,45.7325,45.76,45.76,2/3/2011,0,-0.10%,45.76
2/24/2011,45.76,45.85,45.85,45.7325,45.7525,45.7525,2/4/2011,0,-0.02%,45.7525
2/24/2011,45.7525,45.7875,45.8,45.6,45.6325,45.6325,2/7/2011,0,-0.26%,45.6325
2/24/2011,45.6325,45.5375,45.555,45.3725,45.44,45.44,2/8/2011,0,-0.42%,45.44
2/24/2011,45.44,45.3975,45.62,45.3875,45.605,45.605,2/9/2011,0,0.36%,45.605
2/24/2011,45.605,45.66,45.8425,45.625,45.8225,45.8225,2/10/2011,0,0.48%,45.8225
2/24/2011,45.8225,45.8025,45.8825,45.7375,45.8025,45.8025,2/11/2011,0,-0.04%,45.8025
2/24/2011,45.8025,45.7525,45.7525,45.51,45.575,45.575,2/14/2011,0,-0.50%,45.575
2/24/2011,45.575,45.54,45.62,45.4625,45.5825,45.5825,2/15/2011,0,0.02%,45.5825
2/24/2011,45.5825,45.5325,45.5325,45.39,45.405,45.405,2/17/2011,0,-0.39%,45.405
2/24/2011,45.405,45.265,45.3225,45.2075,45.265,45.265,2/18/2011,0,-0.31%,45.265
2/24/2011,45.265,45.175,45.22,45.0325,45.0775,45.0775,2/21/2011,0,-0.41%,45.0775
2/24/2011,45.0775,45.1525,45.3725,45.13,45.305,45.305,2/22/2011,0,0.50%,45.305
2/24/2011,45.305,45.3475,45.3475,45.145,45.1675,45.1675,2/23/2011,0,-0.30%,45.2975
3/29/2011,45.4275,45.45,45.765,45.45,45.75,45.75,2/24/2011,0.26,1.29%,45.75
3/29/2011,45.75,45.695,45.7125,45.535,45.57,45.57,2/25/2011,0,-0.39%,45.57
3/29/2011,45.57,45.545,45.565,45.405,45.5075,45.5075,2/28/2011,0,-0.14%,45.5075
3/29/2011,45.5075,45.395,45.42,45.14,45.16,45.16,3/1/2011,0,-0.76%,45.16
3/29/2011,45.16,45.14,45.28,45.11,45.245,45.245,3/3/2011,0,0.19%,45.245
3/29/2011,45.245,45.16,45.225,45.09,45.1775,45.1775,3/4/2011,0,-0.15%,45.1775
3/29/2011,45.1775,45.26,45.3525,45.2075,45.2425,45.2425,3/7/2011,0,0.14%,45.2425
3/29/2011,45.2425,45.23,45.2925,45.155,45.2675,45.2675,3/8/2011,0,0.06%,45.2675
3/29/2011,45.2675,45.205,45.205,45.14,45.165,45.165,3/9/2011,0,-0.23%,45.165
3/29/2011,45.165,45.2125,45.335,45.19,45.3175,45.3175,3/10/2011,0,0.34%,45.3175
3/29/2011,45.3175,45.395,45.44,45.3025,45.3975,45.3975,3/11/2011,0,0.18%,45.3975
3/29/2011,45.3975,45.34,45.35,45.18,45.205,45.205,3/14/2011,0,-0.42%,45.205
3/29/2011,45.205,45.3275,45.5,45.3275,45.3975,45.3975,3/15/2011,0,0.43%,45.3975
3/29/2011,45.3975,45.3375,45.38,45.2475,45.26,45.26,3/16/2011,0,-0.30%,45.26
3/29/2011,45.26,45.4,45.4025,45.21,45.2775,45.2775,3/17/2011,0,0.04%,45.2775
3/29/2011,45.2775,45.2025,45.2375,45.1425,45.215,45.215,3/18/2011,0,-0.14%,45.215
3/29/2011,45.215,45.0975,45.1625,45.07,45.105,45.105,3/21/2011,0,-0.24%,45.105
3/29/2011,45.105,45.04,45.0725,44.995,45.0225,45.0225,3/22/2011,0,-0.18%,45.0225
3/29/2011,45.0225,45.0675,45.0875,44.8825,44.905,44.905,3/23/2011,0,-0.26%,44.905
3/29/2011,44.905,44.96,44.9875,44.7325,44.78,44.78,3/24/2011,0,-0.28%,44.78
3/29/2011,44.78,44.705,44.72,44.63,44.6725,44.6725,3/25/2011,0,-0.24%,44.6725
3/29/2011,44.6725,44.71,44.91,44.7075,44.85,44.85,3/28/2011,0,0.40%,44.99625
